PRICE , TIME 
2400.0,09:07:35
2400.0,09:07:40
2400.0,09:07:45
2400.0,09:07:50
2400.0,09:07:55
2400.0,09:08:00
2400.0,09:08:05
2400.0,09:08:11
2400.0,09:08:16
2400.0,09:08:21
2400.0,09:08:26
2400.0,09:08:31
2400.0,09:08:37
2400.0,09:08:42
2400.0,09:08:47
2400.0,09:08:52
2400.0,09:08:57
2400.0,09:09:03
2400.0,09:09:08
2400.0,09:09:13
2400.0,09:09:18
2400.0,09:09:23
2400.0,09:09:28
2400.0,09:09:33
2400.0,09:09:39
2400.0,09:09:44
2400.0,09:09:49
2400.0,09:09:54
2400.0,09:09:59
2400.0,09:10:04
2400.0,09:10:10
2400.0,09:10:15
2400.0,09:10:20
2400.0,09:10:25
2400.0,09:10:30
2400.0,09:10:35
2400.0,09:10:40
2400.0,09:10:46
2400.0,09:10:51
2400.0,09:10:56
2400.0,09:11:01
2400.0,09:11:06
2400.0,09:11:11
2400.0,09:11:16
2400.0,09:11:22
2400.0,09:11:27
2400.0,09:11:32
2400.0,09:11:37
2400.0,09:11:42
2400.0,09:11:47
2400.0,09:11:53
2400.0,09:11:58
2400.0,09:12:03
2400.0,09:12:08
2400.0,09:12:13
2400.0,09:12:19
2400.0,09:12:24
2400.0,09:12:29
2400.0,09:12:34
2400.0,09:12:39
2400.0,09:12:45
2400.0,09:12:50
2400.0,09:12:55
2400.0,09:13:00
2400.0,09:13:05
2400.0,09:13:10
2400.0,09:13:16
2400.0,09:13:21
2400.0,09:13:26
2400.0,09:13:31
2400.0,09:13:36
2400.0,09:13:42
2400.0,09:13:47
2400.0,09:13:52
2400.0,09:13:57
2400.0,09:14:02
2400.0,09:14:08
2400.0,09:14:13
2400.0,09:14:18
2400.0,09:14:23
2400.0,09:14:28
2400.0,09:14:34
2400.0,09:14:39
2400.0,09:14:44
2400.0,09:14:49
2400.0,09:14:54
2400.0,09:14:59
2400.0,09:15:05
2400.0,09:15:10
2400.0,09:15:15
2400.0,09:15:20
2400.0,09:15:25
2400.0,09:15:31
2400.0,09:15:36
2400.0,09:15:41
2400.0,09:15:46
2400.0,09:15:51
2400.0,09:15:57
2400.0,09:16:02
2400.0,09:16:07
2400.0,09:16:12
2400.0,09:16:17
2400.0,09:16:23
2400.0,09:16:28
2400.0,09:16:33
2400.0,09:16:38
2400.0,09:16:43
2400.0,09:16:49
2400.0,09:16:54
2400.0,09:16:59
2400.0,09:17:04
2400.0,09:17:09
2404.1,09:17:15
2404.1,09:17:20
2404.1,09:17:25
2404.1,09:17:30
2404.1,09:17:35
2404.1,09:17:41
2404.1,09:17:46
2404.1,09:17:51
2404.1,09:17:56
2404.1,09:18:01
2404.1,09:18:06
2404.1,09:18:12
2404.1,09:18:17
2404.1,09:18:22
2404.1,09:18:27
2404.1,09:18:33
2404.1,09:18:38
2404.1,09:18:43
2404.1,09:18:48
2404.1,09:18:53
2404.1,09:18:59
2404.1,09:19:04
2404.1,09:19:09
2404.1,09:19:14
2406.4,09:19:19
2406.4,09:19:25
2406.4,09:19:30
2406.4,09:19:35
2406.4,09:19:40
2406.4,09:19:45
2406.4,09:19:51
2406.4,09:19:56
2406.4,09:20:01
2406.4,09:20:06
2406.4,09:20:11
2406.4,09:20:17
2406.4,09:20:22
2406.4,09:20:27
2406.4,09:20:32
2406.4,09:20:37
2406.4,09:20:43
2406.4,09:20:48
2406.4,09:20:53
2406.4,09:20:58
2406.4,09:21:03
2406.4,09:21:09
2406.4,09:21:14
2406.4,09:21:19
2407.25,09:21:24
2407.25,09:21:29
2407.25,09:21:35
2407.25,09:21:40
2407.25,09:21:45
2407.25,09:21:50
2407.25,09:21:55
2407.25,09:22:01
2407.25,09:22:06
2407.25,09:22:11
2407.25,09:22:16
2407.25,09:22:21
2407.25,09:22:26
2407.25,09:22:32
2407.25,09:22:37
2407.25,09:22:42
2407.25,09:22:47
2407.25,09:22:53
2407.25,09:22:58
2408.5,09:23:03
2408.5,09:23:08
2408.5,09:23:13
2408.5,09:23:19
2408.5,09:23:24
2408.5,09:23:29
2408.5,09:23:34
2406.05,09:23:39
2406.05,09:23:45
2406.05,09:23:50
2406.05,09:23:55
2406.05,09:24:00
2406.05,09:24:05
2406.05,09:24:10
2406.05,09:24:16
2406.05,09:24:21
2406.05,09:24:26
2406.05,09:24:31
2406.05,09:24:36
2406.05,09:24:42
2406.05,09:24:47
2406.05,09:24:53
2406.05,09:24:58
2406.05,09:25:03
2406.05,09:25:09
2406.05,09:25:14
2406.05,09:25:19
2406.05,09:25:24
2406.05,09:25:30
2406.05,09:25:35
2406.05,09:25:40
2406.4,09:25:45
2406.4,09:25:51
2406.4,09:25:56
2406.4,09:26:01
2406.4,09:26:06
2406.4,09:26:11
2406.4,09:26:17
2406.4,09:26:22
2406.4,09:26:27
2406.4,09:26:32
2406.4,09:26:37
2406.4,09:26:43
2406.4,09:26:48
2406.4,09:26:53
2406.4,09:26:58
2406.4,09:27:03
2406.4,09:27:08
2406.4,09:27:14
2406.4,09:27:19
2406.4,09:27:24
2406.4,09:27:29
2406.0,09:27:35
2406.0,09:27:40
2406.0,09:27:45
2406.0,09:27:50
2406.0,09:27:55
2406.0,09:28:00
2406.0,09:28:06
2406.0,09:28:11
2406.0,09:28:16
2406.0,09:28:21
2406.0,09:28:26
2406.0,09:28:32
2406.0,09:28:37
2406.0,09:28:42
2406.0,09:28:47
2406.0,09:28:52
2406.0,09:28:58
2406.0,09:29:03
2406.0,09:29:08
2406.0,09:29:13
2406.0,09:29:18
2406.0,09:29:23
2402.6,09:29:29
2402.6,09:29:34
2402.6,09:29:39
2402.6,09:29:44
2402.6,09:29:49
2402.6,09:29:55
2402.6,09:30:00
2402.6,09:30:05
2402.6,09:30:10
2402.6,09:30:15
2402.6,09:30:21
2402.6,09:30:26
2402.6,09:30:31
2402.6,09:30:36
2402.6,09:30:41
2402.6,09:30:46
2402.6,09:30:52
2402.6,09:30:57
2402.6,09:31:02
2402.6,09:31:07
2405.15,09:31:12
2405.15,09:31:18
2405.15,09:31:23
2405.15,09:31:28
2405.15,09:31:33
2405.15,09:31:38
2405.15,09:31:44
2405.15,09:31:49
2405.15,09:31:54
2405.15,09:31:59
2405.15,09:32:04
2405.15,09:32:09
2405.15,09:32:15
2405.15,09:32:20
2405.15,09:32:25
2405.15,09:32:30
2405.15,09:32:35
2405.15,09:32:41
2405.15,09:32:46
2405.15,09:32:51
2405.15,09:32:56
2405.15,09:33:01
2405.0,09:33:07
2405.0,09:33:12
2405.0,09:33:17
2405.0,09:33:22
2405.0,09:33:27
2405.0,09:33:33
2405.0,09:33:38
2405.0,09:33:43
2405.0,09:33:48
2405.0,09:33:53
2405.0,09:33:58
2405.0,09:34:04
2405.0,09:34:09
2405.0,09:34:14
2405.0,09:34:19
2405.0,09:34:24
2405.0,09:34:30
2405.0,09:34:35
2405.0,09:34:40
2405.0,09:34:45
2405.0,09:34:50
2405.0,09:34:55
2405.0,09:35:01
2405.0,09:35:06
2405.0,09:35:11
2405.0,09:35:16
2405.0,09:35:21
2405.0,09:35:27
2405.0,09:35:32
2405.0,09:35:37
2405.0,09:35:42
2405.0,09:35:47
2404.85,09:35:53
2404.85,09:35:58
2404.85,09:36:03
2404.85,09:36:08
2404.85,09:36:13
2404.85,09:36:19
2404.85,09:36:24
2404.85,09:36:29
2404.85,09:36:34
2404.85,09:36:39
2404.85,09:36:44
2404.85,09:36:50
2404.85,09:36:55
2404.85,09:37:00
2404.85,09:37:05
2404.85,09:37:10
2404.85,09:37:16
2404.85,09:37:21
2404.85,09:37:26
2404.85,09:37:31
2404.35,09:37:36
2404.35,09:37:41
2404.35,09:37:47
2404.35,09:37:52
2404.35,09:37:57
2404.35,09:38:02
2404.35,09:38:07
2404.35,09:38:13
2404.35,09:38:18
2404.35,09:38:23
2404.35,09:38:28
2404.35,09:38:33
2404.35,09:38:38
2404.35,09:38:44
2404.35,09:38:49
2404.35,09:38:54
2404.35,09:38:59
2404.35,09:39:04
2404.35,09:39:10
2404.35,09:39:15
2404.35,09:39:20
2399.0,09:39:25
2399.0,09:39:30
2399.0,09:39:36
2399.0,09:39:41
2399.0,09:39:46
2399.0,09:39:51
2399.0,09:39:56
2399.0,09:40:01
2399.0,09:40:07
2399.0,09:40:12
2399.0,09:40:17
2399.0,09:40:22
2399.0,09:40:27
2399.0,09:40:33
2399.0,09:40:38
2399.0,09:40:43
2399.0,09:40:48
2399.0,09:40:53
2399.0,09:40:58
2399.0,09:41:04
2400.55,09:41:09
2400.55,09:41:14
2400.55,09:41:19
2400.55,09:41:24
2400.55,09:41:29
2400.55,09:41:35
2400.55,09:41:40
2400.55,09:41:45
2400.55,09:41:50
2400.55,09:41:55
2400.55,09:42:00
2400.55,09:42:06
2400.55,09:42:11
2400.55,09:42:16
2400.55,09:42:21
2400.55,09:42:26
2400.55,09:42:31
2400.55,09:42:37
2400.55,09:42:42
2400.55,09:42:47
2400.55,09:42:52
2400.55,09:42:57
2400.55,09:43:02
2400.55,09:43:08
2400.55,09:43:13
2401.3,09:43:18
2401.3,09:43:23
2401.3,09:43:28
2401.3,09:43:33
2401.3,09:43:39
2401.3,09:43:44
2401.3,09:43:49
2401.3,09:43:54
2401.3,09:43:59
2401.3,09:44:04
2401.3,09:44:10
2401.3,09:44:15
2401.3,09:44:20
2401.3,09:44:25
2401.3,09:44:30
2401.3,09:44:35
2401.3,09:44:41
2401.3,09:44:46
2401.3,09:44:51
2401.3,09:44:56
2401.3,09:45:01
2401.3,09:45:06
2400.45,09:45:12
2400.45,09:45:17
2400.45,09:45:22
2400.45,09:45:27
2400.45,09:45:32
2400.45,09:45:38
2400.45,09:45:43
2400.45,09:45:48
2400.45,09:45:53
2400.45,09:45:58
2400.45,09:46:04
2400.45,09:46:09
2400.45,09:46:14
2400.45,09:46:19
2400.45,09:46:24
2400.45,09:46:30
2400.45,09:46:35
2400.45,09:46:40
2400.45,09:46:45
2400.45,09:46:50
2400.45,09:46:56
2400.45,09:47:01
2400.45,09:47:06
2405.0,09:47:11
2405.0,09:47:16
2405.0,09:47:22
2405.0,09:47:27
2405.0,09:47:32
2405.0,09:47:37
2405.0,09:47:42
2405.0,09:47:47
2405.0,09:47:53
2405.0,09:47:58
2405.0,09:48:03
2405.0,09:48:08
2405.0,09:48:14
2405.0,09:48:19
2405.0,09:48:24
2405.0,09:48:29
2405.0,09:48:34
2405.0,09:48:39
2405.0,09:48:45
2405.0,09:48:50
2405.0,09:48:55
2405.0,09:49:00
2405.0,09:49:05
2405.0,09:49:11
2403.55,09:49:16
2403.55,09:49:21
2403.55,09:49:26
2403.55,09:49:31
2403.55,09:49:37
2403.55,09:49:42
2403.55,09:49:47
2403.55,09:49:52
2403.55,09:49:57
2403.55,09:50:02
2403.55,09:50:08
