PRICE , TIME 
2480.8,09:20:21
2480.8,09:20:26
2480.8,09:20:31
2480.8,09:20:36
2480.8,09:20:42
2481.8,09:20:47
2480.8,09:20:52
2481.8,09:20:57
2481.8,09:21:02
2481.8,09:21:07
2481.8,09:21:13
2484.15,09:21:18
2484.15,09:21:23
2484.15,09:21:28
2484.15,09:21:33
2484.15,09:21:38
2484.15,09:21:44
2484.15,09:21:49
2484.15,09:21:54
2484.15,09:21:59
2484.15,09:22:04
2484.15,09:22:09
2484.15,09:22:15
2484.15,09:22:20
2484.15,09:22:25
2484.15,09:22:30
2484.15,09:22:35
2484.15,09:22:40
2484.15,09:22:46
2484.15,09:22:51
2484.15,09:22:56
2484.15,09:23:01
2484.15,09:23:06
2484.15,09:23:11
2484.15,09:23:17
2484.15,09:23:22
2485.45,09:23:27
2485.45,09:23:32
2485.45,09:23:37
2485.45,09:23:43
2485.45,09:23:48
2485.45,09:23:53
2485.45,09:23:58
2485.45,09:24:03
2485.45,09:24:08
2485.45,09:24:14
2485.45,09:24:19
2485.45,09:24:24
2485.45,09:24:29
2485.45,09:24:34
2485.45,09:24:40
2485.45,09:24:45
2485.45,09:24:50
2488.05,09:24:55
2488.05,09:25:00
2488.05,09:25:05
2488.05,09:25:11
2488.05,09:25:16
2488.05,09:25:21
2488.05,09:25:26
2488.05,09:25:31
2488.05,09:25:36
2488.05,09:25:42
2488.05,09:25:47
2488.05,09:25:52
2488.05,09:25:57
2488.05,09:26:02
2488.05,09:26:08
2488.05,09:26:13
2488.05,09:26:18
2488.05,09:26:23
2488.05,09:26:28
2488.05,09:26:34
2488.05,09:26:39
2488.05,09:26:44
2488.05,09:26:49
2488.0,09:26:54
2488.0,09:26:59
2488.0,09:27:05
2488.0,09:27:10
2490.55,09:27:15
2488.0,09:27:20
2490.55,09:27:25
2490.55,09:27:31
2490.55,09:27:36
2490.55,09:27:41
2490.55,09:27:46
2490.55,09:27:51
2490.55,09:27:57
2490.55,09:28:02
2490.55,09:28:07
2490.55,09:28:12
2490.55,09:28:17
2490.55,09:28:22
2490.55,09:28:28
2490.55,09:28:33
2490.55,09:28:38
2490.55,09:28:43
2490.55,09:28:48
2490.55,09:28:53
2490.55,09:28:59
2490.55,09:29:04
2490.55,09:29:09
2491.5,09:29:14
2491.5,09:29:19
2491.5,09:29:25
2491.5,09:29:30
2491.5,09:29:35
2491.5,09:29:40
2491.5,09:29:45
2491.5,09:29:50
2491.5,09:29:56
2491.5,09:30:01
2491.5,09:30:06
2491.5,09:30:11
2491.5,09:30:16
2491.5,09:30:22
2491.5,09:30:27
2491.5,09:30:32
2491.5,09:30:37
2491.5,09:30:42
2491.5,09:30:47
2491.5,09:30:53
2491.5,09:30:58
2491.5,09:31:03
2491.5,09:31:08
2488.95,09:31:13
2488.95,09:31:19
2488.95,09:31:24
2488.95,09:31:29
2488.95,09:31:34
2488.95,09:31:39
2488.95,09:31:44
2488.95,09:31:50
2488.95,09:31:55
2488.95,09:32:00
2488.95,09:32:05
2488.95,09:32:10
2488.95,09:32:16
2488.95,09:32:21
2488.95,09:32:26
2488.95,09:32:31
2488.95,09:32:36
2488.95,09:32:41
2488.95,09:32:47
2488.95,09:32:52
2488.95,09:32:57
2488.95,09:33:02
2492.55,09:33:08
2492.55,09:33:13
2492.55,09:33:18
2492.55,09:33:23
2492.55,09:33:28
2492.55,09:33:33
2492.55,09:33:39
2492.55,09:33:44
2492.55,09:33:49
2492.55,09:33:54
2492.55,09:33:59
2492.55,09:34:04
2492.55,09:34:10
2492.55,09:34:15
2492.55,09:34:20
2492.55,09:34:25
2492.55,09:34:30
2492.55,09:34:35
2492.55,09:34:41
2492.55,09:34:46
2492.55,09:34:51
2492.55,09:34:56
2496.05,09:35:01
2496.05,09:35:07
2492.55,09:35:12
2492.55,09:35:17
2492.55,09:35:22
2496.05,09:35:28
2496.05,09:35:33
2496.05,09:35:38
2496.05,09:35:43
2496.05,09:35:48
2496.05,09:35:53
2496.05,09:35:59
2496.05,09:36:04
2496.05,09:36:09
2496.05,09:36:14
2496.05,09:36:19
2496.05,09:36:25
2496.05,09:36:30
2496.05,09:36:35
2496.05,09:36:40
2496.05,09:36:45
2496.05,09:36:51
2496.05,09:36:56
2496.05,09:37:01
2496.05,09:37:06
2494.25,09:37:11
2494.25,09:37:17
2494.25,09:37:22
2494.25,09:37:27
2494.25,09:37:32
2494.25,09:37:37
2494.25,09:37:42
2494.25,09:37:48
2494.25,09:37:53
2494.25,09:37:58
2494.25,09:38:03
2494.25,09:38:08
2494.25,09:38:14
2494.25,09:38:19
2494.25,09:38:24
2494.25,09:38:29
2494.25,09:38:34
2494.25,09:38:40
2494.25,09:38:45
2494.25,09:38:50
2494.25,09:38:55
2494.25,09:39:00
2494.25,09:39:05
2494.25,09:39:11
2505.0,09:39:16
2505.0,09:39:21
2505.0,09:39:26
2505.0,09:39:32
2505.0,09:39:37
2505.0,09:39:42
2505.0,09:39:47
2505.0,09:39:52
2505.0,09:39:58
2505.0,09:40:03
2505.0,09:40:08
2505.0,09:40:13
2505.0,09:40:18
2505.0,09:40:24
2505.0,09:40:29
2505.0,09:40:34
2505.0,09:40:39
2505.0,09:40:44
2505.0,09:40:49
2505.0,09:40:55
2505.0,09:41:00
2505.0,09:41:05
2508.0,09:41:10
2509.0,09:41:15
2508.0,09:41:20
2508.0,09:41:26
2508.0,09:41:31
2508.0,09:41:36
2508.0,09:41:41
2508.0,09:41:46
2508.0,09:41:51
2508.0,09:41:57
2508.0,09:42:02
2508.0,09:42:07
2508.0,09:42:12
2508.0,09:42:17
2508.0,09:42:22
2508.0,09:42:28
2509.0,09:42:33
2509.0,09:42:38
2508.0,09:42:43
2508.0,09:42:48
2509.0,09:42:53
2509.0,09:42:59
2509.0,09:43:04
2509.0,09:43:09
2509.0,09:43:14
2505.8,09:43:19
2505.8,09:43:24
2505.8,09:43:30
2505.8,09:43:35
2505.8,09:43:40
2505.8,09:43:45
2505.8,09:43:50
2505.8,09:43:56
2505.8,09:44:01
2505.8,09:44:06
2505.8,09:44:11
2505.8,09:44:16
2505.8,09:44:21
2505.8,09:44:27
2505.8,09:44:32
2505.8,09:44:37
2505.8,09:44:42
2505.8,09:44:47
2505.8,09:44:53
2508.95,09:44:58
2508.95,09:45:03
2508.95,09:45:08
2508.95,09:45:13
2508.95,09:45:18
2508.95,09:45:24
2508.95,09:45:29
2508.95,09:45:34
2508.95,09:45:39
