PRICE , TIME 
2463.5,10:05:34
2463.5,10:05:39
2463.5,10:05:44
2463.5,10:05:49
2463.5,10:05:55
2463.5,10:06:00
2463.5,10:06:05
2463.5,10:06:10
2463.5,10:06:15
2463.5,10:06:20
2463.5,10:06:26
2463.5,10:06:31
2463.5,10:06:36
2463.5,10:06:41
2463.5,10:06:46
2463.5,10:06:51
2463.5,10:06:57
2463.5,10:07:02
2463.5,10:07:07
2463.5,10:07:12
2463.5,10:07:17
2463.5,10:07:22
2464.9,10:07:28
2463.5,10:07:33
2464.9,10:07:38
2464.9,10:07:43
2464.9,10:07:48
2464.9,10:07:54
2464.9,10:07:59
2464.9,10:08:04
2464.9,10:08:09
2464.9,10:08:14
2464.9,10:08:19
2464.9,10:08:25
2464.9,10:08:30
2464.9,10:08:35
2464.9,10:08:40
2464.9,10:08:45
2464.9,10:08:50
2464.9,10:08:56
2464.9,10:09:01
2464.9,10:09:06
2464.9,10:09:11
2464.9,10:09:16
2464.9,10:09:22
2464.9,10:09:28
2465.35,10:09:33
2465.35,10:09:38
2465.35,10:09:43
2465.35,10:09:48
2465.35,10:09:53
2465.35,10:09:59
2465.35,10:10:04
2465.35,10:10:09
2465.35,10:10:14
2465.35,10:10:19
2465.35,10:10:25
2465.35,10:10:30
2465.35,10:10:35
2465.35,10:10:40
2465.35,10:10:45
2465.45,10:10:51
2465.35,10:10:56
2465.35,10:11:01
2465.35,10:11:06
2464.05,10:11:11
2465.1,10:11:17
2465.35,10:11:22
2465.1,10:11:27
2465.1,10:11:32
2465.1,10:11:37
2465.1,10:11:43
2465.1,10:11:48
2465.1,10:11:53
2465.1,10:11:58
2465.1,10:12:03
2465.1,10:12:08
2465.1,10:12:14
2465.1,10:12:19
2465.1,10:12:24
2465.1,10:12:29
2465.1,10:12:34
2465.1,10:12:40
2465.1,10:12:45
2465.1,10:12:50
2465.1,10:12:55
2465.1,10:13:00
2465.1,10:13:06
2466.0,10:13:11
2466.0,10:13:16
2466.0,10:13:21
2466.0,10:13:26
2466.0,10:13:32
2466.0,10:13:37
2466.0,10:13:42
2466.0,10:13:47
2466.0,10:13:52
2466.0,10:13:58
2466.0,10:14:03
2466.0,10:14:08
2466.0,10:14:13
2466.0,10:14:18
2466.0,10:14:23
2466.0,10:14:29
2466.0,10:14:34
2466.0,10:14:39
2465.05,10:14:44
2468.9,10:14:49
2468.9,10:14:55
2466.0,10:15:00
2468.9,10:15:06
2468.9,10:15:11
2468.9,10:15:16
2468.9,10:15:21
2468.9,10:15:26
2468.9,10:15:32
2468.9,10:15:37
2468.9,10:15:42
2468.9,10:15:47
2468.9,10:15:52
2468.9,10:15:58
2468.9,10:16:03
2468.9,10:16:08
2468.9,10:16:13
2468.9,10:16:19
2468.9,10:16:25
2468.9,10:16:30
2468.9,10:16:35
2468.9,10:16:40
2468.9,10:16:45
2471.3,10:16:51
2471.3,10:16:56
2471.3,10:17:01
2471.3,10:17:06
2471.3,10:17:11
2471.3,10:17:17
2468.8,10:17:22
2468.8,10:17:27
2471.3,10:17:32
2471.3,10:17:37
2468.8,10:17:43
2468.8,10:17:48
2471.3,10:17:53
2468.8,10:17:58
2471.3,10:18:03
2471.3,10:18:09
2471.3,10:18:14
2471.3,10:18:19
2471.3,10:18:24
2468.8,10:18:29
2467.35,10:18:35
2467.35,10:18:40
2468.85,10:18:45
2468.85,10:18:50
2468.85,10:18:55
2467.35,10:19:00
2467.35,10:19:06
2467.35,10:19:11
2467.35,10:19:16
2467.35,10:19:21
2468.85,10:19:26
2468.85,10:19:32
2467.35,10:19:37
2468.85,10:19:42
2468.85,10:19:47
2468.85,10:19:52
2467.35,10:19:58
2467.35,10:20:03
2467.35,10:20:08
2467.35,10:20:13
2467.35,10:20:18
2467.35,10:20:24
2467.35,10:20:29
2469.9,10:20:34
2469.9,10:20:39
2469.9,10:20:44
2469.9,10:20:50
2469.9,10:20:55
2469.9,10:21:00
2469.9,10:21:05
2469.9,10:21:10
2469.9,10:21:16
2469.9,10:21:21
2469.9,10:21:26
2469.9,10:21:31
2469.9,10:21:36
2469.9,10:21:42
2469.9,10:21:47
2469.9,10:21:52
2469.9,10:21:57
2469.9,10:22:02
2469.9,10:22:08
2469.9,10:22:13
2469.9,10:22:18
2464.9,10:22:23
2464.9,10:22:28
2464.9,10:22:34
2465.0,10:22:39
2465.0,10:22:44
2464.9,10:22:49
