PRICE , TIME 
2479.0,09:43:45
2479.0,09:43:50
2479.0,09:43:55
2479.0,09:44:00
2479.0,09:44:05
2479.0,09:44:11
2479.0,09:44:16
2479.0,09:44:21
2479.0,09:44:26
2479.0,09:44:31
2479.0,09:44:37
2479.0,09:44:42
2479.0,09:44:47
2479.0,09:44:52
2479.0,09:44:58
2479.0,09:45:03
2479.0,09:45:08
2479.0,09:45:13
2479.0,09:45:19
2479.0,09:45:24
2479.0,09:45:29
2479.0,09:45:34
2479.0,09:45:39
2479.0,09:45:45
2479.0,09:45:50
2479.0,09:45:55
2479.0,09:46:00
2479.0,09:46:05
2479.0,09:46:11
2479.0,09:46:16
2479.0,09:46:21
2479.0,09:46:26
2479.0,09:46:31
2479.0,09:46:37
2479.0,09:46:42
2479.0,09:46:47
2479.0,09:46:52
2479.0,09:46:58
2479.0,09:47:03
2479.0,09:47:08
2479.0,09:47:13
2479.0,09:47:18
2479.0,09:47:24
2479.0,09:47:29
2479.0,09:47:34
2479.0,09:47:39
2479.0,09:47:44
2479.0,09:47:50
2479.0,09:47:55
2479.0,09:48:01
2479.0,09:48:06
2479.0,09:48:11
2479.0,09:48:16
2479.0,09:48:21
2479.0,09:48:27
2479.0,09:48:32
2479.0,09:48:37
2479.0,09:48:42
2479.0,09:48:47
2479.0,09:48:53
2479.0,09:48:58
2479.0,09:49:03
2479.0,09:49:08
2479.0,09:49:13
2479.0,09:49:19
2479.0,09:49:24
2479.0,09:49:29
2479.0,09:49:34
2479.0,09:49:39
2479.0,09:49:45
2479.0,09:49:50
2479.0,09:49:55
2479.0,09:50:00
2479.0,09:50:05
2479.0,09:50:11
2479.0,09:50:16
2479.0,09:50:21
2479.0,09:50:26
2479.0,09:50:31
2479.0,09:50:37
2479.0,09:50:42
2479.0,09:50:47
2479.0,09:50:52
2479.0,09:50:57
2479.0,09:51:03
2479.0,09:51:08
2479.0,09:51:13
2479.0,09:51:18
2479.0,09:51:23
2479.0,09:51:29
2479.0,09:51:34
2479.0,09:51:39
2479.0,09:51:44
2479.0,09:51:49
2479.0,09:51:55
